model_key,sample_size,outer_fold,projected,raw,delta_nRMSE,relative_change_percent,projection_improved
catboost_regressor,10000,1,0.2301187565101354,0.23074894861342007,-0.0006301921032846602,-0.27310724797296393,True
catboost_regressor,10000,2,0.23707852495402507,0.2383071209042899,-0.001228595950264838,-0.5155515058059356,True
catboost_regressor,10000,3,0.22251460872986997,0.22388457272534706,-0.0013699639954770915,-0.611906384973524,True
catboost_regressor,10000,4,0.2298839556009748,0.23194583008964487,-0.002061874488670068,-0.8889465647531465,True
extra_trees_regressor,500,0,0.7161233643594676,0.6880407679957159,0.028082596363751655,4.081530872880851,False
extra_trees_regressor,500,1,0.6874335025004784,0.718942900824588,-0.031509398324109594,-4.3827400323405445,True
extra_trees_regressor,500,2,0.9013910982116615,0.7343999448357039,0.1669911533759576,22.738448518445352,False
extra_trees_regressor,500,3,0.618799128547054,0.6911647455891028,-0.0723656170420488,-10.470096674327504,True
extra_trees_regressor,500,4,1.103100737770515,0.722447133574653,0.38065360419586214,52.68947532705905,False
extra_trees_regressor,1450,0,0.6902365408614539,0.6747178339906486,0.015518706870805365,2.3000291513000755,False
extra_trees_regressor,1450,1,0.6895022558816493,0.6883077833904768,0.001194472491172438,0.17353755398329038,False
extra_trees_regressor,1450,2,0.815093581920564,0.64471461457241,0.17037896734815405,26.42703662940128,False
extra_trees_regressor,1450,3,0.581272431391167,0.6318101162121089,-0.0505376848209419,-7.998872370694296,True
extra_trees_regressor,1450,4,0.6802540395912471,0.6279760330975135,0.0522780064937336,8.324841035074304,False
extra_trees_regressor,2400,0,0.6129233643498158,0.6228599756107477,-0.009936611260931927,-1.595320240506471,True
extra_trees_regressor,2400,1,0.7161302961826872,0.6982405712863803,0.017889724896306913,2.562114782781581,False
extra_trees_regressor,2400,2,0.8171939062552733,0.6242609391266871,0.1929329671285862,30.905820793223217,False
extra_trees_regressor,2400,3,0.6006135614970841,0.617548794311246,-0.01693523281416187,-2.7423311275426885,True
extra_trees_regressor,2400,4,0.604323331480092,0.6037594323337592,0.0005638991463328136,0.09339798537856867,False
extra_trees_regressor,3350,0,0.6199293099742894,0.6164618343471511,0.003467475627138339,0.5624801786489321,False
extra_trees_regressor,3350,1,0.6729651597917656,0.6566520599965623,0.016313099795203345,2.484283654769734,False
extra_trees_regressor,3350,2,0.8018245332177779,0.6024296444340117,0.1993948887837662,33.09845234643119,False
extra_trees_regressor,3350,3,0.6195232533870977,0.5974759990288154,0.022047254358282253,3.6900652736042283,False
extra_trees_regressor,3350,4,0.6823241070832176,0.5908453693011454,0.09147873778207216,15.48268676291288,False
extra_trees_regressor,4300,0,0.602177689733137,0.6015003906943921,0.0006772990387449163,0.11260159581326618,False
extra_trees_regressor,4300,1,0.630540760187387,0.6212733348252424,0.009267425362144643,1.491682459661893,False
extra_trees_regressor,4300,2,0.7382982041675245,0.5880613943920675,0.15023680977545695,25.54781034908275,False
extra_trees_regressor,4300,3,0.6331793697654484,0.5914426296663436,0.041736740099104774,7.056768992564864,False
extra_trees_regressor,4300,4,0.6708182605035212,0.5981503276498757,0.07266793285364548,12.148774228571732,False
extra_trees_regressor,5250,0,0.5844564543851392,0.5921405680277445,-0.00768411364260535,-1.2976840394839007,True
extra_trees_regressor,5250,1,0.6097364227308695,0.6071764121459684,0.0025600105849010735,0.4216255002155178,False
extra_trees_regressor,5250,2,0.7478855400831518,0.5884201085260564,0.15946543155709536,27.100608773643554,False
extra_trees_regressor,5250,3,0.6069371198427043,0.5809879394939804,0.025949180348723844,4.466388815458828,False
extra_trees_regressor,5250,4,0.6739630943220638,0.5902558532967315,0.08370724102533234,14.181518159931116,False
extra_trees_regressor,6200,0,0.5902677493495018,0.5881415100862848,0.002126239263216978,0.3615183126429969,False
extra_trees_regressor,6200,1,0.6555934522825818,0.6022325086807662,0.05336094360181565,8.860521946699066,False
extra_trees_regressor,6200,2,0.6975036928622299,0.5770879922020139,0.12041570066021601,20.86609014350512,False
extra_trees_regressor,6200,3,0.5956250054027133,0.5718340823526686,0.02379092305004471,4.1604590884409856,False
extra_trees_regressor,6200,4,0.6942423776967839,0.5781696523438482,0.11607272535293567,20.075893793869533,False
extra_trees_regressor,7150,0,0.5771343914430432,0.5814723608008906,-0.00433796935784736,-0.7460319097321256,True
extra_trees_regressor,7150,1,0.6492921932456689,0.5880969445084291,0.061195248737239805,10.405639632831438,False
extra_trees_regressor,7150,2,0.6656406351871968,0.570903233492338,0.09473740169485889,16.594301124435717,False
extra_trees_regressor,7150,3,0.5845065396386631,0.5721827600570382,0.012323779581624894,2.153818751965962,False
extra_trees_regressor,7150,4,0.6836818228510149,0.5757427047764987,0.10793911807451617,18.747804736217677,False
extra_trees_regressor,8100,0,0.6002907789396963,0.5729109543909043,0.027379824548791953,4.779071571061348,False
extra_trees_regressor,8100,1,0.5990775830928396,0.5783650086196381,0.020712574473201517,3.5812288372416297,False
extra_trees_regressor,8100,2,0.6697926533392069,0.5693218641160084,0.10047078922319852,17.64744963364449,False
extra_trees_regressor,8100,3,0.56365600148471,0.5643602304859572,-0.0007042290012472252,-0.12478359799393206,True
extra_trees_regressor,8100,4,0.6652525556934681,0.5718079013018682,0.09344465439159988,16.34196627553572,False
extra_trees_regressor,9050,0,0.617432727952128,0.5630168248588273,0.05441590309330069,9.665058074764481,False
extra_trees_regressor,9050,1,0.5932294462218679,0.5684604290708759,0.024769017150992,4.357210437932486,False
extra_trees_regressor,9050,2,0.6454331577762262,0.570647287156491,0.07478587061973518,13.105445746073675,False
extra_trees_regressor,9050,3,0.5610948384389502,0.5663453185033887,-0.005250480064438401,-0.9270810392347201,True
extra_trees_regressor,9050,4,0.6424912483416978,0.5667645485214095,0.07572669982028835,13.361227341732327,False
extra_trees_regressor,10000,0,0.6025447811486304,0.5583773871134415,0.04416739403518888,7.909953922653337,False
extra_trees_regressor,10000,1,0.5739207967028198,0.5676117160406602,0.006309080662159627,1.1115134666648925,False
extra_trees_regressor,10000,2,0.6351814800462829,0.5701549751898186,0.06502650485646433,11.405057867786807,False
