model_key,sample_size,folds,raw_mass_violation_rate,projected_mass_violation_rate,raw_nonnegative_violation_rate,projected_nonnegative_violation_rate,raw_conservation_l2_mean,projected_conservation_l2_mean,standardized_displacement_l2_mean,backtracking_active_mean
lightgbm_regressor,10000,5,1.0,0.0,0.3895,0.0,1.2486611632929228,4.279290857441387e-14,0.3011310011137579,0.0
lightgbm_regressor,1450,5,1.0,0.0,0.4020689655172414,0.0,1.9979801053594375,4.2501567132093185e-14,0.46588508876675994,0.000689655172413793
lightgbm_regressor,2400,5,1.0,0.0,0.3745833333333334,0.0,1.7119563257511743,4.231831764456079e-14,0.39769994939197706,0.00041666666666666664
lightgbm_regressor,3350,5,1.0,0.0,0.3698507462686567,0.0,1.5665854780880395,4.237464120969845e-14,0.360660655760472,0.0
lightgbm_regressor,4300,5,1.0,0.0,0.36767441860465117,0.0,1.4675003566983236,4.240146295345902e-14,0.34400746395445214,0.0
lightgbm_regressor,500,5,1.0,0.0,0.44000000000000006,0.0,2.785342603311053,4.31402325279108e-14,0.6193998504532257,0.0
lightgbm_regressor,5250,5,1.0,0.0,0.36133333333333334,0.0,1.3842680427182308,4.205486441233763e-14,0.32645829299576357,0.00019047619047619048
lightgbm_regressor,6200,5,1.0,0.0,0.375,0.0,1.3564285980812234,4.259378818451916e-14,0.3221512398164869,0.0
lightgbm_regressor,7150,5,1.0,0.0,0.3813986013986014,0.0,1.3099140167417898,4.2554286454200144e-14,0.3125142579429769,0.0
lightgbm_regressor,8100,5,1.0,0.0,0.3837037037037037,0.0,1.2872926386559107,4.2228950894625595e-14,0.30703337593093916,0.0
lightgbm_regressor,9050,5,1.0,0.0,0.389060773480663,0.0,1.2646229697646028,4.228902017564723e-14,0.3033553744885259,0.0
multitask_elastic_net_regressor,10000,5,1.0,0.0,0.7106,0.0,0.1632325093594999,4.170754301362937e-14,0.4816778334532321,0.0
multitask_elastic_net_regressor,1450,5,1.0,0.0,0.7296551724137931,0.0,0.16481602424214667,4.090170762116659e-14,0.5005961413917134,0.0
multitask_elastic_net_regressor,2400,5,1.0,0.0,0.7212500000000001,0.0,0.16328736730056456,4.1781259294603084e-14,0.4944063896653108,0.0
