model_key,sample_size,folds,setup_seconds_mean,setup_seconds_sd,raw_latency_ms_mean,projection_latency_ms_mean,end_to_end_latency_ms_mean
catboost_regressor,7150,5,31.89082297999412,3.6299742360808156,0.06868349610158475,0.12338203118815727,0.20225560547260102
catboost_regressor,8100,5,32.29087150003761,4.653677264235474,0.0684750001255452,0.12124937497901556,0.1976066406314203
catboost_regressor,9050,5,32.85345207992941,3.62731488937583,0.06831833984506375,0.12290724612284976,0.2046936718215875
extra_trees_regressor,10000,5,2.832168119959533,0.6049804095045722,0.146078828129248,0.10531675779930083,0.2483983984348015
extra_trees_regressor,1450,5,0.4139922600239515,0.0587179495889912,0.13469984373841726,0.12164208978902025,0.2515988866889529
extra_trees_regressor,2400,5,0.5836951199453324,0.08966432527594906,0.15250955084411544,0.10149570307476097,0.26974689449161815
extra_trees_regressor,3350,5,0.8982994999736548,0.13352507770019412,0.13115128904246376,0.11006537120010762,0.247654453096402
extra_trees_regressor,4300,5,1.0377136800438165,0.14799119774275724,0.14009966794219508,0.10328501953154046,0.23863705073381425
extra_trees_regressor,500,5,0.3026136799715459,0.02307324332922496,0.16559353512093367,0.1256518750324176,0.2836814648617292
extra_trees_regressor,5250,5,1.32698910003528,0.1694689508906399,0.14080835944696446,0.1000963085971307,0.23730324219286558
extra_trees_regressor,6200,5,1.5581039400305599,0.2073086712541639,0.14637634772043384,0.10423410153634904,0.23953623053785122
extra_trees_regressor,7150,5,1.8548632799182088,0.26675954389152184,0.13672779305125005,0.0985211718671053,0.23582066410199332
extra_trees_regressor,8100,5,2.3899630200117827,0.540667611187725,0.13915345703026105,0.10041802738669503,0.24572755855842843
extra_trees_regressor,9050,5,2.5644284199923275,0.5224708909621806,0.1428689063686761,0.088669433580435,0.25017289062816417
knn_regressor,10000,5,0.02518527996726334,0.012660906601299394,0.15743695312266937,0.14013433592481306,0.3147982226437307
knn_regressor,1450,5,0.004377980064600706,0.0018217351136729301,0.04344919916547951,0.13547042967729794,0.21012558595430164
knn_regressor,2400,5,0.0053250601049512625,0.0016501255220195273,0.055731445354467724,0.14837623048151727,0.21383281250564323
knn_regressor,3350,5,0.007132619991898537,0.0018252013128756007,0.07022781251180277,0.1475822460179188,0.22747517573407094
knn_regressor,4300,5,0.012281960062682628,0.007074181984816071,0.0823707421659492,0.15112029300325958,0.24115367186823278
knn_regressor,500,5,0.0034631999675184487,0.001212007408280755,0.030053085947656655,0.14262173813222034,0.1846588671014615
knn_regressor,5250,5,0.012064300011843443,0.005897660250107307,0.08789185549176182,0.14267277338149142,0.24584605475865828
knn_regressor,6200,5,0.01862028008326888,0.01206889328469159,0.10863255865842802,0.14041357417227118,0.26480753917894617
knn_regressor,7150,5,0.01692675999365747,0.00914355538175104,0.11970982413913589,0.14984335939516313,0.2773908790004498
