model_key,sample_size,prediction_type,folds,nRMSE_mean,nRMSE_sd,nMAE_mean,macro_R2_mean
extra_trees_regressor,6200,projected,5,0.6466464555187621,0.051753323638540766,0.3390104643219668,0.5423282596583909
extra_trees_regressor,7150,raw,5,0.5776796007270388,0.007120253798348629,0.3992471516350617,0.667215701621528
extra_trees_regressor,7150,projected,5,0.6320511164731174,0.04839311369192231,0.33424020672315785,0.5764819376293039
extra_trees_regressor,8100,raw,5,0.5713531917828752,0.005119247020615456,0.3941412167029836,0.6740880989181558
extra_trees_regressor,8100,projected,5,0.6196139145099842,0.046171430306123334,0.329934511054226,0.6073077476569058
extra_trees_regressor,9050,raw,5,0.5670468816221985,0.0028184347032748336,0.3904577615887618,0.6785507632329049
extra_trees_regressor,9050,projected,5,0.611936283746174,0.03542829258239901,0.32721855564805136,0.6232136498446375
knn_regressor,10000,raw,5,0.6068283952007949,0.007417594331046362,0.4186374641790508,0.632046045545086
knn_regressor,10000,projected,5,0.6210342516692499,0.02149926040430153,0.3762115090818149,0.6128329649445499
knn_regressor,1450,raw,5,0.6894901481072038,0.0263148255722485,0.4890165064965656,0.5300352849697896
knn_regressor,1450,projected,5,0.7020225630493088,0.05710117540185601,0.4373389017715178,0.4225848121724794
knn_regressor,2400,raw,5,0.6645573741613672,0.034716587857993385,0.4674283033007825,0.565363369060319
knn_regressor,2400,projected,5,0.6813010787370137,0.06906942034403742,0.4188784621959754,0.49284510454663855
knn_regressor,3350,raw,5,0.647423789920748,0.02599541518052784,0.45594366786113244,0.5846660185090278
knn_regressor,3350,projected,5,0.6640786420220289,0.05026177450317482,0.40880464168456215,0.5257000622553453
knn_regressor,4300,raw,5,0.6388333885874091,0.009630379619116775,0.44703410074505995,0.5937206105713361
knn_regressor,4300,projected,5,0.6456430362411605,0.02644425852956045,0.4006686127289087,0.5557652404113689
knn_regressor,500,raw,5,0.747295722124871,0.030392894721758455,0.5369937458365415,0.45349341784973307
knn_regressor,500,projected,5,0.77056366337753,0.06438400314397281,0.4812775806687021,0.4346183392188703
knn_regressor,5250,raw,5,0.6322270964548297,0.008477865207691575,0.4413991310162283,0.6015032734366784
knn_regressor,5250,projected,5,0.6458253980228665,0.03279357590807545,0.3967509037648947,0.5678768015580918
knn_regressor,6200,raw,5,0.626663591231831,0.011219788555674688,0.4353562844362914,0.6091669817111776
knn_regressor,6200,projected,5,0.6421020258187775,0.035396904767829473,0.39143403881984307,0.5741459267563801
knn_regressor,7150,raw,5,0.6190784599779798,0.008232549856595934,0.43027580059103965,0.617940276599009
