model_key,sample_size,delta_nRMSE_mean,delta_nRMSE_sd,raw,projected,relative_change_percent
extra_trees_regressor,2400,0.03690294941922643,0.08820415242320472,0.6333339425337641,0.6702368919529904,5.826775882497247
extra_trees_regressor,3350,0.06654029126929246,0.08178149449168204,0.6127729814215372,0.6793132726908296,10.858881394367186
extra_trees_regressor,4300,0.05491724142581935,0.06041628470154207,0.6000856154455843,0.6550028568714036,9.151567711724166
extra_trees_regressor,5250,0.052799549974689455,0.06934717530576313,0.5917961762980962,0.6445957262727857,8.921914687751144
extra_trees_regressor,6200,0.0631533063856458,0.053500086949009415,0.5834931491331163,0.6466464555187621,10.823315831466285
extra_trees_regressor,7150,0.05437151574607848,0.04939704408490917,0.5776796007270388,0.6320511164731174,9.412053961685556
extra_trees_regressor,8100,0.04826072272710893,0.04571640187859342,0.5713531917828752,0.6196139145099842,8.446740723809393
extra_trees_regressor,9050,0.04488940212397556,0.03483650978419269,0.5670468816221985,0.611936283746174,7.916347585856859
extra_trees_regressor,10000,0.044469715632974374,0.02503154000663794,0.5632222090621035,0.6076919246950778,7.895589860887546
knn_regressor,500,0.02326794125265901,0.06369432963736822,0.747295722124871,0.77056366337753,3.113618954822674
knn_regressor,1450,0.01253241494210502,0.048407484005544406,0.6894901481072038,0.7020225630493088,1.8176350998646065
knn_regressor,2400,0.01674370457564651,0.059729224044354975,0.6645573741613672,0.6813010787370137,2.5195273164752914
knn_regressor,3350,0.01665485210128088,0.05152734702283859,0.647423789920748,0.6640786420220289,2.572480709014364
knn_regressor,4300,0.006809647653751361,0.032723840721244346,0.6388333885874091,0.6456430362411605,1.0659504927895018
knn_regressor,5250,0.01359830156803692,0.03254030814445557,0.6322270964548297,0.6458253980228665,2.1508571278087296
knn_regressor,6200,0.01543843458694658,0.03800398064694282,0.626663591231831,0.6421020258187775,2.463592077624807
knn_regressor,7150,0.011380129986517783,0.03324752759898521,0.6190784599779798,0.6304585899644976,1.8382371092223917
knn_regressor,8100,0.016822915762514667,0.02928366424575937,0.6147039747995917,0.6315268905621064,2.7367507698318345
knn_regressor,9050,0.01568204298219007,0.027571967755406768,0.6121881159783197,0.6278701589605098,2.5616379300550625
knn_regressor,10000,0.01420585646845487,0.021528298892509647,0.6068283952007949,0.6210342516692499,2.3410006157925993
lightgbm_regressor,500,0.0061162703227615415,0.004283990120879614,0.4385979588032985,0.44471422912606007,1.394504967476282
lightgbm_regressor,1450,0.01714995881280209,0.03133467016013088,0.3550570713281994,0.37220703014100154,4.830197790075681
lightgbm_regressor,2400,0.001044017171333067,0.0017026478174578788,0.33464035562723715,0.3356843727985702,0.311981849701361
lightgbm_regressor,3350,0.0007293600494552744,0.0009130071519406839,0.3076730300220806,0.30840239007153586,0.23705686826139488
lightgbm_regressor,4300,0.0006665227609126024,0.0007535378959731815,0.2906904372238658,0.2913569599847784,0.2292895381347934
lightgbm_regressor,5250,0.0010871406981558974,0.0012472150052017315,0.2755890031129976,0.27667614381115346,0.3944789835137584
lightgbm_regressor,6200,0.0007410809072238677,0.0012011065597814711,0.2684498866246463,0.26919096753187016,0.27605931093577085
lightgbm_regressor,7150,0.00029994244214378576,0.0013484916877841663,0.26245704539544323,0.26275698783758705,0.11428248827989992
lightgbm_regressor,8100,0.00021553095868356853,0.0008566905711840864,0.25517526127514156,0.25539079223382516,0.08446389262288283
lightgbm_regressor,9050,0.0004924192195336407,0.0005549722977821221,0.253446585923544,0.2539390051430776,0.1942891508043929
lightgbm_regressor,10000,0.0007439513318308,0.0009776203161740121,0.2491121475270699,0.2498560988589007,0.2986411297947498
multitask_elastic_net_regressor,500,-0.02369095402148491,0.007239301594120577,0.5515032179087024,0.5278122638872176,-4.295705492221929
multitask_elastic_net_regressor,1450,-0.021387434369485692,0.002798429663470296,0.5422566478028676,0.520869213433382,-3.9441534661020605
multitask_elastic_net_regressor,2400,-0.02091214516795047,0.0034596783181976764,0.540967332794268,0.5200551876263175,-3.8656946362976505
multitask_elastic_net_regressor,3350,-0.020472021751700563,0.002195463965920749,0.5381362460269489,0.5176642242752483,-3.804245096450053
multitask_elastic_net_regressor,4300,-0.020579595651789663,0.0015504765445778796,0.5380078680200375,0.517428272368248,-3.8251477115987287
multitask_elastic_net_regressor,5250,-0.020400684232655154,0.0012048110147531608,0.5374558399531989,0.5170551557205438,-3.795787991517877
multitask_elastic_net_regressor,6200,-0.020256313733526453,0.0009616949091882036,0.5382992592658831,0.5180429455323565,-3.7630209190983313
multitask_elastic_net_regressor,7150,-0.020276742320086007,0.001127742003153565,0.5370255253686628,0.5167487830485766,-3.7757501947726513
multitask_elastic_net_regressor,8100,-0.020179704736987582,0.0010842131248827176,0.5369232290218557,0.5167435242848681,-3.758396665711436
multitask_elastic_net_regressor,9050,-0.02009213266107295,0.0013831032862786407,0.5362538550933664,0.5161617224322935,-3.7467577100354252
multitask_elastic_net_regressor,10000,-0.020015874507660913,0.0014456899201372817,0.5361093457040409,0.51609347119638,-3.7335432907581896
multitask_lasso_regressor,500,-0.02368881028792793,0.007258314030579777,0.5514868090335903,0.5277979987456624,-4.295444587231289
multitask_lasso_regressor,1450,-0.021381003988312875,0.002806215963007021,0.5422508805077356,0.5208698765194227,-3.943009547221541
multitask_lasso_regressor,2400,-0.02090430697363562,0.003475089790263933,0.5409632833635969,0.5200589763899612,-3.864274640536976
multitask_lasso_regressor,3350,-0.02046472341842779,0.0022140808297014796,0.5381348782210781,0.5176701548026503,-3.8028985383884333
multitask_lasso_regressor,4300,-0.02057158180846865,0.0015685295919648594,0.5380062705730649,0.5174346887645963,-3.8236695246240386
multitask_lasso_regressor,5250,-0.020392798719378314,0.001207157570729064,0.5374539248777845,0.5170611261584062,-3.794334318800564
multitask_lasso_regressor,6200,-0.020247680679638624,0.0009564438419872858,0.5382964596630264,0.5180487789833879,-3.761436716918704
multitask_lasso_regressor,7150,-0.02026790462957797,0.0011107664406496765,0.5370223742759433,0.5167544696463654,-3.774126665933568
multitask_lasso_regressor,8100,-0.020171152071050157,0.0010649926376676804,0.5369206469089912,0.516749494837941,-3.7568218296640183
multitask_lasso_regressor,9050,-0.020083674907300387,0.0013665530837112334,0.5362513711330058,0.5161676962257055,-3.745197865856647
